ID,Location,Date,Time
black,nest,2016-02-25,1:09:22
black,nest,2016-02-25,3:59:26
black,nest,2016-02-25,3:59:26
black,nest,2016-02-25,4:44:34
black,nest,2016-02-25,5:12:01
black,nest,2016-02-25,11:33:56
black,nest,2016-03-01,1:09:22
black,nest,2016-03-01,1:09:22
black,nest,2016-03-01,3:59:26
black,nest,2016-03-01,3:59:26
black,nest,2016-03-01,4:44:34
black,nest,2016-03-01,4:44:34
black,nest,2016-03-01,5:12:01
black,nest,2016-03-01,5:12:01
black,nest,2016-03-01,11:33:56
black,nest,2016-03-01,11:33:56
