ID,Location,Date,Time
green,nest,2016-03-03,0:55:40
green,nest,2016-03-03,0:58:39
green,nest,2016-03-03,0:59:29
green,nest,2016-03-03,1:01:59
green,nest,2016-03-03,1:02:21
green,nest,2016-03-03,1:03:06
green,nest,2016-03-03,1:03:07
green,nest,2016-03-03,1:03:17
green,nest,2016-03-03,1:03:20
green,nest,2016-03-03,1:03:23
green,nest,2016-03-03,1:03:27
green,nest,2016-03-03,1:04:39
green,nest,2016-03-03,1:13:35
green,nest,2016-03-03,1:23:38
green,nest,2016-03-03,1:23:41
green,nest,2016-03-03,1:23:44
green,nest,2016-03-03,1:23:45
green,nest,2016-03-03,1:23:50
green,nest,2016-03-03,1:23:53
green,nest,2016-03-03,1:23:53
green,nest,2016-03-03,1:23:55
green,nest,2016-03-03,1:23:57
green,nest,2016-03-03,1:23:59
green,nest,2016-03-03,1:24:00
green,nest,2016-03-03,1:24:02
green,nest,2016-03-03,1:45:00
green,nest,2016-03-03,1:49:49
green,nest,2016-03-03,2:01:08
green,nest,2016-03-03,2:01:14
green,nest,2016-03-03,2:07:12
green,nest,2016-03-03,2:16:12
green,nest,2016-03-03,2:28:08
green,nest,2016-03-03,2:44:27
green,nest,2016-03-03,2:45:38
green,nest,2016-03-03,2:45:44
green,nest,2016-03-03,2:45:44
green,nest,2016-03-03,2:46:32
green,nest,2016-03-03,2:46:39
green,nest,2016-03-03,2:46:45
green,nest,2016-03-03,2:46:48
green,nest,2016-03-03,2:46:51
green,nest,2016-03-03,2:46:53
green,nest,2016-03-03,2:46:54
green,nest,2016-03-03,2:47:19
green,nest,2016-03-03,2:47:26
green,nest,2016-03-03,2:47:29
green,nest,2016-03-03,2:47:31
green,nest,2016-03-03,2:48:14
green,nest,2016-03-03,2:48:19
green,nest,2016-03-03,2:55:16
green,nest,2016-03-03,3:43:14
green,nest,2016-03-03,3:52:16
green,nest,2016-03-03,5:20:01
green,nest,2016-03-03,7:14:08
green,nest,2016-03-03,7:14:09
green,nest,2016-03-04,2:57:09
green,nest,2016-03-04,3:07:36
green,nest,2016-03-04,3:07:42
green,nest,2016-03-04,3:21:06
green,nest,2016-03-04,3:24:04
green,nest,2016-03-04,3:26:27
green,nest,2016-03-04,3:26:36
green,nest,2016-03-04,3:26:41
green,nest,2016-03-04,3:26:42
green,nest,2016-03-04,3:26:46
green,nest,2016-03-04,3:26:47
green,nest,2016-03-04,3:36:02
green,nest,2016-03-04,4:03:18
green,nest,2016-03-04,4:15:30
green,nest,2016-03-04,4:24:38
green,nest,2016-03-04,5:32:15
green,nest,2016-03-04,5:59:54
green,nest,2016-03-04,6:15:08
green,nest,2016-03-04,6:32:34
green,nest,2016-03-04,6:32:39
green,nest,2016-03-04,6:32:39
green,nest,2016-03-04,6:32:41
green,nest,2016-03-04,6:32:58
green,nest,2016-03-04,6:33:10
green,nest,2016-03-04,6:33:39
green,nest,2016-03-04,6:33:40
green,nest,2016-03-04,6:33:52
green,nest,2016-03-04,6:35:02
green,nest,2016-03-04,6:35:06
green,nest,2016-03-04,6:35:11
green,nest,2016-03-04,6:35:12
green,nest,2016-03-04,6:35:12
green,nest,2016-03-04,6:35:57
green,nest,2016-03-04,6:36:02
green,nest,2016-03-04,6:36:39
green,nest,2016-03-04,6:36:53
green,nest,2016-03-04,6:36:57
green,nest,2016-03-04,6:37:16
green,nest,2016-03-04,6:37:22
green,nest,2016-03-04,6:37:23
green,nest,2016-03-04,6:37:51
green,nest,2016-03-04,6:38:46
green,nest,2016-03-04,6:38:50
green,nest,2016-03-04,6:38:51
green,nest,2016-03-04,6:38:51
green,nest,2016-03-04,6:38:52
green,nest,2016-03-04,6:39:17
green,nest,2016-03-04,6:39:23
green,nest,2016-03-04,6:39:26
green,nest,2016-03-04,6:39:27
green,nest,2016-03-04,7:01:02
green,nest,2016-03-04,7:13:24
green,nest,2016-03-04,7:47:24
green,nest,2016-03-04,8:26:24
green,nest,2016-03-04,8:41:31
green,nest,2016-03-04,9:08:29
green,nest,2016-03-04,9:11:30
green,nest,2016-03-04,13:21:32
green,nest,2016-03-04,13:59:36
green,nest,2016-03-04,14:05:28
green,nest,2016-03-04,14:17:07
